mm	mW
0	0.0006
0.02	0.0006
0.04	0.0006
0.06	0.0006
0.08	0.0006
0.1	0.0006
0.12	0.0006
0.14	0.0006
0.16	0.0006
0.18	0.0006
0.2	0.0007
0.22	0.0007
0.24	0.0007
0.26	0.0007
0.28	0.0007
0.3	0.0007
0.32	0.0008
0.34	0.0008
0.36	0.0008
0.38	0.0008
0.4	0.0009
0.42	0.0009
0.44	0.0009
0.46	0.0009
0.48	0.001
0.5	0.001
0.52	0.0011
0.54	0.0011
0.56	0.0011
0.58	0.0012
0.6	0.0012
0.62	0.0013
0.64	0.0014
0.66	0.0014
0.68	0.0015
0.7	0.0015
0.72	0.0016
0.74	0.0017
0.76	0.0018
0.78	0.0019
0.8	0.0019
0.82	0.002
0.84	0.0022
0.86	0.0023
0.88	0.0024
0.9	0.0026
0.92	0.0027
0.94	0.0029
0.96	0.0032
0.98	0.0034
1	0.0037
1.02	0.0038
1.04	0.0043
1.06	0.0045
1.08	0.0049
1.1	0.0059
1.12	0.0064
1.14	0.0068
1.16	0.008
1.18	0.0089
1.2	0.0101
1.22	0.0133
1.24	0.015
1.26	0.0181
1.28	0.0212
1.3	0.0236
1.32	0.0308
1.34	0.0354
1.36	0.0391
1.38	0.0479
1.4	0.0547
1.42	0.0604
1.44	0.0796
1.46	0.0874
1.48	0.1009
1.5	0.1094
1.52	0.1177
1.54	0.1337
1.56	0.1555
1.58	0.1676
1.6	0.1931
1.62	0.1994
1.64	0.223
1.66	0.2333
1.68	0.2659
1.7	0.2837
1.72	0.3046
1.74	0.3433
1.76	0.3646
1.78	0.3896
1.8	0.4821
1.82	0.5285
1.84	0.5639
1.86	0.6381
1.88	0.677
1.9	0.7189
1.92	0.8052
1.94	0.8376
1.96	0.8651
1.98	0.9072
2	0.9
2.02	1
2.04	1
2.06	1
2.08	1
2.1	1
2.12	1
2.14	1.1
2.16	1.1
2.18	1.1
2.2	1.1
2.22	1.1
2.24	1.1
2.26	1.1
2.28	1.1
2.3	1.1
2.32	1.1
2.34	1.1
2.36	1.1
2.38	1.1
2.4	1.1
2.42	1.1
2.44	1.1
2.46	1.1
2.48	1.1
2.5	1.1
2.52	1.1
2.54	1.1
2.56	1.1
2.58	1.1
2.6	1.1
2.62	1.1
2.64	1.1
2.66	1.1
2.68	1.1
2.7	1.1
2.72	1.1
2.74	1.1
2.76	1.1
2.78	1.1
2.8	1.1
2.82	1.1
2.84	1.1
2.86	1.1
2.88	1.1
2.9	1.1
2.92	1.1
2.94	1.1
2.96	1.1
2.98	1.1
