mm	Power(uw)
7.5	0.306
7.55	0.307
7.6	0.311
7.65	0.313
7.7	0.316
7.75	0.318
7.8	0.321
7.85	0.322
7.9	0.326
7.95	0.329
8	0.334
8.05	0.336
8.1	0.341
8.15	0.344
8.2	0.345
8.25	0.35
8.3	0.351
8.35	0.354
8.4	0.363
8.45	0.361
8.5	0.372
8.55	0.371
8.6	0.382
8.65	0.39
8.7	0.39
8.75	0.403
8.8	0.409
8.85	0.41
8.9	0.424
8.95	0.43
9	0.434
9.05	0.444
9.1	0.461
9.15	0.47
9.2	0.48
9.25	0.49
9.3	0.504
9.35	0.516
9.4	0.531
9.45	0.552
9.5	0.569
9.55	0.586
9.6	0.608
9.65	0.636
9.75	0.654
10	0.7
10.05	0.725
10.1	0.754
10.15	0.796
10.2	0.839
10.25	0.893
10.3	0.943
10.35	1.008
10.4	1.008
10.45	1.185
10.5	1.27
10.55	1.36
10.6	1.56
10.65	1.71
10.7	1.89
10.75	2.155
10.8	2.508
10.85	2.73
10.9	3.18
10.95	3.65
11	4.025
11.05	4.85
11.1	5.53
11.15	6.61
11.2	8.53
11.25	9.71
11.3	12.35
11.35	15.12
11.4	17.47
11.45	21.78
11.5	25.98
11.55	31.41
11.6	39.23
11.65	46.53
11.45	56.95
11.5	65.63
11.55	80.04
11.6	92.56
11.65	105.2
11.7	130.58
11.75	157.2
11.8	220.6
11.85	289
11.9	382
11.95	447
12	494
12.05	525
12.1	545.1
12.15	566
12.2	588
12.25	604
12.3	636
12.35	656
12.4	675
12.45	694
12.75	707
13	783
13.25	834
13.5	865
14.75	883
16	888
17.25	891
18.5	891
